"collection","id","value","present"
"presentations","presentation-2018-24-evitare-l-effetto-pavimento-della-wisc-iv-","Evitare l’effetto pavimento della WISC-IV nella disabilità intellettiva: età equivalente e punti z",TRUE
"presentations","presentation-2017-25-dsa-e-intelligenza-profilo-wisc-iv-e-plusd","DSA e intelligenza: profilo WISC-IV e plusdotazione intellettiva",TRUE
"presentations","presentation-2017-26-il-ruolo-delle-variabili-socio-economiche-","Il ruolo delle variabili socio-economiche nell’apprendimento della lettura",TRUE
"presentations","presentation-2017-27-una-nuova-prova-di-lettura-sub-lessicale-p","Una nuova prova di lettura sub-lessicale per la classe prima primaria",TRUE
"presentations","presentation-2017-28-trend-evolutivi-dello-span-di-binding-visu","Trend evolutivi dello span di binding visuo-fonologico",TRUE
"presentations","presentation-2017-29-bambini-con-dsa-e-plusdotazione-intelletti","Bambini con DSA e plusdotazione intellettiva: Analisi della frequenza e profilo WISC-IV",TRUE
"presentations","presentation-2016-30-l-apprendimento-di-ambienti-in-persone-con","L’apprendimento di ambienti in persone con Sindrome di Down: Il ruolo della prospettiva e dell’ausilio della mappa",TRUE
"presentations","presentation-2016-31-punti-di-forza-e-debolezza-nel-profilo-wis","Punti di forza e debolezza nel profilo WISC in soggetti con DSA: uno studio con 1049 bambini",TRUE
"presentations","presentation-2016-32-wisc-iv-intellectual-profile-in-different-","WISC-IV intellectual profile in different subtypes of Specific Learning Disorder: Similarities and Differences",TRUE
"presentations","presentation-2016-33-emotional-false-memories-for-pictorial-scr","Emotional false memories for pictorial scripted material: The role of distinctiveness and negative valence",TRUE
"presentations","presentation-2016-34-environment-knowledge-acquisition-in-indiv","Environment knowledge acquisition in individuals with Down syndrome: The role of descriptions and maps",TRUE
"presentations","presentation-2016-35-the-influence-of-metacognitive-beliefs-on-","The influence of metacognitive beliefs on positive and negative affect in parents of children with cancer",TRUE
"presentations","presentation-2016-36-efficacia-della-discrepanza-tra-indici-wis","Efficacia della discrepanza tra indici WISC-IV come marcatore clinico di DSA",TRUE
"presentations","presentation-2015-37-the-relevance-of-memory-sensitivity-and-it","The relevance of ‘Memory Sensitivity’ and its implications for everyday functioning",TRUE
"presentations","presentation-2015-38-emotional-false-memories-for-events-the-ro","Emotional false memories for events: The role of working memory",TRUE
"presentations","presentation-2014-39-un-elevato-tratto-ansioso-incrementa-i-fal","Un elevato tratto ansioso incrementa i falsi ricordi inferenziali per eventi negativi",TRUE
"presentations","presentation-2014-40-falsi-ricordi-per-eventi-emozionali-il-ruo","Falsi ricordi per eventi emozionali: Il ruolo delle differenze individuali nella memoria di lavoro e nei tratti ansioso-depressi",TRUE
"presentations","presentation-2013-41-leopardismo-maledizione-per-gli-adolescent","Leopardismo: maledizione per gli adolescenti ma risorsa per gli anziani?",TRUE
"presentations","presentation-2013-42-false-memories-of-emotional-events-depress","False memories of emotional events: Depression does not protect against memory distortions",TRUE
"presentations","presentation-2012-43-falsi-ricordi-inferenziali-quando-le-emozi","Falsi ricordi inferenziali: quando le emozioni negative ingannano di meno",TRUE
"outreach","training-intelligence-plural","Siamo davvero intelligenti? Certezze e incertezze sull’intelligenza umana",TRUE
"outreach","essere-intelligente-2025","L’Intelligenza Umana",TRUE
"outreach","science4all-2024","Centra il bersaglio: tra misurazione, probabilità e incertezza",TRUE
"outreach","orientation-days","Giornate di orientamento (ex Agripolis)",TRUE
"outreach","psychopedagogical-week-training","Settimana psicopedagogica - Civitanova Marche",TRUE
"outreach","music-intelligence-mooc-interview","Struttura dell’intelligenza (unitaria o multipla?)",TRUE
"outreach","general-psychology-mooc","General Psychology",TRUE
"outreach","labda-knowledge-transfer","Valutazione e intervento sui disturbi dell’apprendimento in età evolutiva",TRUE
"outreach","lsc-sua-standardization","LSC-SUA - Prove di lettura, comprensione del testo, scrittura e calcolo",TRUE
"outreach","open-science-transfer","Pratiche di Open Science per la Terza Missione",TRUE
"publications_title","cortesi2026time","Time processing skills in individuals with math impairment and developmental dyscalculia",TRUE
"publications_title","toffalini2025intellectual","Intellectual giftedness in adult lifespan: just a dimensional account or are there areas especially sensitive to high potential?",TRUE
"publications_title","perugini2025benefits","The benefits of reporting critical effect size values",TRUE
"publications_title","pelegrina2025stability","Stability of math anxiety and its relation with math performance over time: A meta-analysis of longitudinal studies",TRUE
"publications_title","esposito2025sex","Sex differences in variability: Evidence from math and reading assessment in Italy",TRUE
"publications_title","costa2025enhancing","Enhancing the quality and reproducibility of research: Preferred Evaluation of Cognitive and Neuropsychological Studies - The PECANS statement for human studies",TRUE
"publications_title","caviola2025exploring","Exploring the mediating role of academic anxiety in mathematics and reading performance among boys and girls: A comprehensive study of Italian fifth graders",TRUE
"publications_title","toffalini2024clusters","Clusters that are not there: An R tutorial and a Shiny app to quantify a priori inferential risks when using clustering methods",TRUE
"publications_title","toffalini2024attenzione","Attenzione all’uso delle discrepanze nel profilo di intelligenza per l’identificazione di DSA e ADHD",TRUE
"publications_title","szczygiel2024math","Math anxiety and math achievement in primary school children: Longitudinal relationship and predictors",TRUE
"publications_title","sella2024effects","Effects of music listening on cognition and affective state in older adults: A systematic review and meta-analysis",TRUE
"publications_title","giofre2024understanding","Understanding sex/gender differences in intelligence profiles of children with Autism: A comprehensive WISC meta-analysis",TRUE
"publications_title","giofre2024sexa","Sex/gender differences in general cognitive abilities: an investigation using the Leiter‑3",TRUE
"publications_title","giofre2024sex","Sex differences in cognition: A meta-analysis of variance ratios in the Wechsler Intelligence Scales for Children",TRUE
"publications_title","feraco2024sembeddings","SEMbeddings: how to evaluate model misfit before data collection using large-language models",TRUE
"publications_title","donolato2024emotion","In emotion and reading motivation, children with a diagnosis of dyslexia are not just the end of a continuum",TRUE
"publications_title","caviola2024learning","Learning disorders and difficulties: From a categorical to a dimensional perspective",TRUE
"publications_title","taddei2023developmental","Developmental profiles of young children with autism spectrum disorder and global developmental delay: A study with the Griffiths III scales",TRUE
"publications_title","szucs2023maths","Maths anxiety and subjective perception of control, value and success expectancy in mathematics",TRUE
"publications_title","sella2023efficacy","Efficacy of memory training interventions targeting metacognition for older adults: a systematic review and meta-analysis",TRUE
"publications_title","pizzigallo2023intellectual","The intellectual profile of adults with specific learning disabilities",TRUE
"publications_title","pietschnig2023reliability","Reliability of the g factor over time in Italian INVALSI data (2010-2022): what can achievement-g tell us about the Flynn effect?",TRUE
"publications_title","giofre2023gender","Gender Differences in the Wechsler Intelligence Scale for Children in a Large Group of Italian Children with Attention Deficit Hyperactivity Disorder",TRUE
"publications_title","donolato2023oral","Oral language interventions can improve language outcomes in children with neurodevelopmental disorders: A systematic review and meta-analysis",TRUE
"publications_title","cornoldi2023cognitive","Cognitive characteristics of intellectually gifted children with a diagnosis of ADHD",TRUE
"publications_title","bolognesi2023perceived","Perceived psychological restorativeness in relation to individual and environmental variables: a study conducted at Poetto beach in Sardinia, Italy",TRUE
"publications_title","toffalini2022structure","The structure, profile, and diagnostic significance of intelligence in children with ADHD are impressively similar to those of children with a specific learning disorder",TRUE
"publications_title","toffalini2022entia","Entia non sunt multiplicanda… Shall I look for clusters in my cognitive data?",TRUE
"publications_title","sella2022non","Non-pharmacological interventions targeting sleep quality in older adults: a systematic review and meta-analysis",TRUE
